,year,month,diversion_rate,num_tweets,likes,retweets,MAU,perc_geotagged,avg_followers,avg_views,total_views,engagement
39,2016,4,18.34050790729987,127,139,96,66,0.023,707.0,70.7,685482.6086956522,705917.3913043479
40,2016,5,18.83893669684176,124,161,72,66,0.023,707.0,70.7,602486.9565217391,622747.8260869565
41,2016,6,18.626631241491747,77,128,72,66,0.023,707.0,70.7,458013.0434782609,475404.34782608703
42,2016,7,19.15080986311042,63,56,13,67,0.026000000000000002,717.7121212121212,71.77121212121213,209792.7738927739,215100.4662004662
43,2016,8,19.14016289387857,61,60,24,67,0.026000000000000002,717.7121212121212,71.77121212121213,234636.65501165504,241098.1934731935
44,2016,9,19.086216406233728,106,129,46,67,0.026000000000000002,717.7121212121212,71.77121212121213,419585.5477855478,433047.08624708623
45,2016,10,19.180750756084848,150,243,132,67,0.02,717.7121212121212,71.77121212121213,1011974.090909091,1049474.090909091
46,2016,11,22.133222562125763,176,421,111,67,0.02,717.7121212121212,71.77121212121213,1029916.893939394,1083116.893939394
47,2016,12,31.497540591252392,128,288,124,67,0.02,717.7121212121212,71.77121212121213,904317.2727272728,945517.2727272728
48,2017,1,22.293121079390318,218,921,250,69,0.017,739.1363636363637,73.91363636363637,2034798.9304812835,2172563.6363636362
49,2017,2,21.340705677364298,113,453,206,69,0.017,739.1363636363637,73.91363636363637,1386967.6470588236,1464497.0588235294
50,2017,3,20.100293245731535,128,507,288,69,0.017,739.1363636363637,73.91363636363637,1808710.1604278076,1902239.5721925134
51,2017,4,20.07487018563872,145,621,271,68,0.013999999999999999,728.4242424242425,72.84242424242426,2164460.606060607,2291889.1774891783
52,2017,5,19.066203568007744,125,1342,457,68,0.013999999999999999,728.4242424242425,72.84242424242426,3028163.636363637,3285163.636363637
53,2017,6,18.539660647452074,284,809,271,68,0.013999999999999999,728.4242424242425,72.84242424242426,2887681.818181819,3041967.532467533
54,2017,7,20.199466170908064,129,168,66,69,0.015,739.1363636363637,73.91363636363637,960877.2727272728,992077.2727272728
55,2017,8,19.664776362232598,165,314,97,69,0.015,739.1363636363637,73.91363636363637,1291024.8484848486,1345824.8484848486
56,2017,9,19.831549572400927,194,1573,662,69,0.015,739.1363636363637,73.91363636363637,4218004.84848485,4516004.84848485
57,2017,10,20.967350181974492,127,309,139,68,0.016,728.4242424242425,72.84242424242426,1211005.3030303032,1267005.3030303032
58,2017,11,21.217311515731208,107,229,98,68,0.016,728.4242424242425,72.84242424242426,933293.5606060608,974168.5606060608
59,2017,12,31.560251844085325,129,475,164,68,0.016,728.4242424242425,72.84242424242426,1333926.8939393943,1413801.8939393943
60,2018,1,22.642578355312953,90,785,186,69,0.015,739.1363636363637,73.91363636363637,1360010.9090909092,1489477.575757576
61,2018,2,22.74788899306685,99,339,136,69,0.015,739.1363636363637,73.91363636363637,1157980.3030303032,1221313.6363636365
62,2018,3,22.008377461606553,111,249,75,69,0.015,739.1363636363637,73.91363636363637,916529.090909091,959729.090909091
63,2018,4,22.434496229264983,126,550,178,68,0.015,728.4242424242425,72.84242424242426,1476273.1313131317,1573339.7979797984
64,2018,5,20.95500325445873,111,210,78,68,0.015,728.4242424242425,72.84242424242426,917814.5454545456,956214.5454545456
65,2018,6,21.005328604773183,116,493,139,68,0.015,728.4242424242425,72.84242424242426,1238321.2121212124,1322587.8787878791
66,2018,7,23.2322932232379,130,754,348,67,0.013999999999999999,717.7121212121212,71.77121212121213,2450474.2424242427,2607902.813852814
67,2018,8,22.157456248818818,139,384,89,67,0.013999999999999999,717.7121212121212,71.77121212121213,1168845.4545454548,1236416.8831168835
68,2018,9,22.819607395624587,124,459,110,67,0.013999999999999999,717.7121212121212,71.77121212121213,1199604.5454545459,1280890.2597402602
69,2018,10,22.8714944398384,206,709,244,66,0.015,707.0,70.7,2121000.0,2248066.6666666665
70,2018,11,23.762172651623914,259,751,137,66,0.015,707.0,70.7,1866480.0,1984880.0
71,2018,12,29.71887930166915,178,1067,193,66,0.015,707.0,70.7,1748646.666666667,1916646.666666667
72,2019,1,23.27790821652899,198,461,122,68,0.013999999999999999,728.4242424242425,72.84242424242426,1664969.6969696975,1748255.4112554118
73,2019,2,24.57352130136336,273,940,185,68,0.013999999999999999,728.4242424242425,72.84242424242426,2382987.8787878794,2543702.1645021653
74,2019,3,22.15460683972623,229,849,182,68,0.013999999999999999,728.4242424242425,72.84242424242426,2138445.454545455,2285731.168831169
75,2019,4,20.58307441204934,154,508,107,68,0.012,728.4242424242425,72.84242424242426,1584322.7272727275,1686822.7272727275
76,2019,5,20.490932478572912,217,965,244,68,0.012,728.4242424242425,72.84242424242426,2798363.1313131317,2999863.1313131317
77,2019,6,19.62925538687369,285,6773,1302,68,0.012,728.4242424242425,72.84242424242426,9633410.606060607,10979243.939393941
78,2019,7,15.89370574221638,180,915,158,68,0.013000000000000001,728.4242424242425,72.84242424242426,1893903.0303030305,2058979.9533799535
79,2019,8,15.696399176954731,273,21028,6156,68,0.013000000000000001,728.4242424242425,72.84242424242426,36023380.41958042,40205534.26573427
80,2019,9,16.139095966620303,399,11139,2248,68,0.013000000000000001,728.4242424242425,72.84242424242426,14831838.22843823,16891376.689976692
81,2019,10,16.66784752608549,199,1587,285,68,0.013000000000000001,728.4242424242425,72.84242424242426,2711979.4871794875,2999979.4871794875
82,2019,11,22.098680755683638,189,1922,404,68,0.013000000000000001,728.4242424242425,72.84242424242426,3322735.1981351986,3680581.3519813525
83,2019,12,14.510000000000002,178,929,153,68,0.013000000000000001,728.4242424242425,72.84242424242426,1854680.1864801869,2021141.7249417254
